Fecha,Origen,Modelo,Color,Descripcion,Talle,Cant.,Costo,Venta,PU Neto,%IIBB + Gast.,Ganancia,Para Local,Margen,GanD
01-jun,ML,PALM100AVF,TO,"Alg, Vent. Pampa Ala 10",XL,1,"30711,01","68.333,56","$ 50.487,22","8200,0272","11576,18","11.576,18",23%,"11.576,18"
02-jun,ML,AULM080AVF,TO,Alg. Vent. Australiano,XXL,1,"24156,44","61.598,88","$ 44.757,06","7391,8656","13208,75","13.208,75",28%,"13.208,75"
02-jun,ML,AULM080FLF,VE,AUSTR. FIELTRO LANA,L,1,78771,"190.988,41","$ 139.625,78","22918,6092","37936,17","37.936,17",26%,"37.936,17"
03-jun,ML,AULM080CEF,MA,Cuero Engrasado,L,0,0,0,"$ 0,00",0,0,-,#¡DIV/0!,-
03-jun,ML,PALM080AVF,TO,"Alg, Vent.Pampa Ala 8",M,1,"28253,5","63.582,70","$ 46.487,13","7629,924","10603,71","10.603,71",23%,"10.603,71"
03-jun,ML,VELM000PLE,AZ,Gorra Vento Paño de Lana,XXL,1,"28459,2","53.758,88","$ 39.450,57","6451,0656","4540,3","4.540,30",15%,"4.540,30"
03-jun,ML,VELM000PLE,GR.OS,Gorra Vento Paño de Lana,XXL,1,"28459,2","53.758,88","$ 39.450,57","6451,0656","4540,3","4.540,30",15%,"4.540,30"
05-jun,ML,PALM100AVF,TO,"Alg, Vent. Pampa Ala 10",M,1,"30711,01","71.499,00","$ 54.327,03","8579,88","15036,14","15.036,14",28%,"15.036,14"
05-jun,ML,AULM080AVF,TO,Alg. Vent. Australiano,M,1,"24156,44","58.724,07","$ 42.396,32","7046,8884","11192,99","11.192,99",25%,"11.192,99"
05-jun,ML,PALM100AVF,TO,"Alg, Vent. Pampa Ala 10",XL,1,"30711,01","68.333,56","$ 49.120,55","8200,0272","10209,51","10.209,51",21%,"10.209,51"
06-jun,ML,Carlos,MA,Billetera doble solapa,,1,5445,"23.518,88","$ 17.802,18","2822,2656","9534,91","9.534,91",47%,"9.534,91"
06-jun,ML,Carlos,MA,Billetera doble solapa,,1,5445,"23.518,88","$ 17.802,18","2822,2656","9534,91","9.534,91",47%,"9.534,91"
07-jun,ML,FOLM080RISF,TO,FORTALEZA RAFIA ITALIANA,M,1,"31393,45","66.078,88","$ 47.120,28","5947,0992","9779,73","9.779,73",18%,"9.779,73"
